"player_id","team_id","player_name","position","nationality"
1,1,Thibaut Courtois,GK,Belgium
2,1,Eder Militao,CB,Brazil
3,1,David Alaba,CB,Austria
4,1,Ferland Mendy,LB,France
5,1,Miguel Gutierrez,LB,Spain
6,1,Daniel Carvajal,RB,Spain
7,1,Lucas Vazquez,RB,Spain
8,1,Nacho Fernandez,CB,Spain
9,1,Jesus Vallejo,CB,Spain
10,1,Marcelo,LB,Brazil
11,1,Federico Valverde,CM,Uruguay
12,1,Eduardo Camavinga,CM,France
13,1,Casemiro,DM,Brazil
14,1,Toni Kroos,CM,Germany
15,1,Luka Modric,CM,Croatia
16,1,Dani Ceballos,CM,Spain
17,1,Antonio Blanco,CM,Spain
18,1,Vinicius Junior,LW,Brazil
19,1,Rodrygo,RW,Brazil
20,1,Marco Asensio,RW,Spain
21,1,Karim Benzema,CF,France
22,1,Luka Jović,CF,Serbia
23,1,Mariano Díaz,CF,Spain
24,1,Eden Hazard,LW,Belgium
25,1,Gareth Bale,RW,Wales
